@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute eye-model numeric
@attribute region-detector {0,1,2,3,4}

@data
1,'2018/02/16 20:33:18:787',1,0,0,?,?
2,'2018/02/16 20:33:19:286',1,0,0,?,?
3,'2018/02/16 20:33:19:789',1,0,0,?,?
4,'2018/02/16 20:33:20:290',1,0,0,?,?
5,'2018/02/16 20:33:20:790',1,0,0,?,?
6,'2018/02/16 20:33:21:291',1,0,0,?,?
7,'2018/02/16 20:33:21:794',1,0,0,?,?
8,'2018/02/16 20:33:22:295',1,0,0,?,?
9,'2018/02/16 20:33:22:795',1,0,0,?,?
10,'2018/02/16 20:33:23:296',1,0,0,?,?
11,'2018/02/16 20:33:23:796',1,0,0,?,?
12,'2018/02/16 20:33:24:297',1,0,0,?,?
13,'2018/02/16 20:33:24:799',1,0,0,?,?
14,'2018/02/16 20:33:25:298',1,0,0,?,?
15,'2018/02/16 20:33:25:798',1,0,0,?,?
16,'2018/02/16 20:33:26:301',1,0,0,?,?
17,'2018/02/16 20:33:26:801',1,0,0,?,?
18,'2018/02/16 20:33:27:301',1,0,0,?,?
19,'2018/02/16 20:33:27:803',1,0,0,?,?
20,'2018/02/16 20:33:28:302',1,0,0,?,?
21,'2018/02/16 20:33:28:804',1,0,0,?,?
22,'2018/02/16 20:33:29:304',1,0,0,?,?
23,'2018/02/16 20:33:29:805',1,0,0,?,?
24,'2018/02/16 20:33:30:306',1,0,0,?,?
25,'2018/02/16 20:33:30:806',1,0,0,?,?
26,'2018/02/16 20:33:31:308',1,0,0,?,?
27,'2018/02/16 20:33:31:810',1,0,0,?,?
28,'2018/02/16 20:33:32:311',1,0,0,?,?
29,'2018/02/16 20:33:32:812',1,0,0,?,?
30,'2018/02/16 20:33:33:313',1,0,0,?,?
31,'2018/02/16 20:33:33:814',1,0,0,?,?
32,'2018/02/16 20:33:34:324',1,0,0,?,?
33,'2018/02/16 20:33:34:816',1,0,0,?,?
