@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
1,'2018/02/09 15:22:06:175',1,41,268,?,?
2,'2018/02/09 15:22:06:192',1,41,268,?,?
3,'2018/02/09 15:22:06:208',1,41,268,?,?
4,'2018/02/09 15:22:06:225',1,41,268,?,?
5,'2018/02/09 15:22:06:241',1,41,268,?,?
6,'2018/02/09 15:22:06:258',1,41,268,?,?
7,'2018/02/09 15:22:06:273',1,41,268,?,?
8,'2018/02/09 15:22:06:289',1,41,268,?,?
9,'2018/02/09 15:22:06:307',1,41,268,?,?
10,'2018/02/09 15:22:06:323',1,41,268,?,?
11,'2018/02/09 15:22:06:341',1,41,268,?,?
12,'2018/02/09 15:22:06:357',1,41,268,?,?
13,'2018/02/09 15:22:06:373',1,41,268,?,?
14,'2018/02/09 15:22:06:391',1,41,268,?,?
15,'2018/02/09 15:22:06:408',1,41,268,?,?
16,'2018/02/09 15:22:06:425',1,41,268,?,?
17,'2018/02/09 15:22:06:440',1,41,268,?,?
18,'2018/02/09 15:22:06:457',1,41,268,?,?
19,'2018/02/09 15:22:06:474',1,41,268,?,?
20,'2018/02/09 15:22:06:490',1,41,268,?,?
21,'2018/02/09 15:22:06:507',1,41,268,?,?
22,'2018/02/09 15:22:06:523',1,41,268,?,?
23,'2018/02/09 15:22:06:539',1,41,268,?,?
24,'2018/02/09 15:22:06:560',1,41,268,?,?
25,'2018/02/09 15:22:06:575',1,41,268,?,?
26,'2018/02/09 15:22:06:591',1,41,268,?,?
27,'2018/02/09 15:22:06:608',1,41,268,?,?
28,'2018/02/09 15:22:06:624',1,41,268,?,?
29,'2018/02/09 15:22:06:641',1,41,268,?,?
30,'2018/02/09 15:22:06:657',1,41,268,?,?
31,'2018/02/09 15:22:06:673',1,41,268,?,?
32,'2018/02/09 15:22:06:690',1,41,268,?,?
33,'2018/02/09 15:22:06:708',1,41,268,?,?
34,'2018/02/09 15:22:06:723',1,41,268,?,?
35,'2018/02/09 15:22:06:739',1,41,268,?,?
36,'2018/02/09 15:22:06:756',1,41,268,?,?
37,'2018/02/09 15:22:06:773',1,41,268,?,?
38,'2018/02/09 15:22:06:790',1,41,268,?,?
39,'2018/02/09 15:22:06:807',1,41,268,?,?
40,'2018/02/09 15:22:06:822',1,41,268,?,?
41,'2018/02/09 15:22:06:839',1,41,268,?,?
42,'2018/02/09 15:22:06:857',1,41,268,?,?
43,'2018/02/09 15:22:06:873',1,41,268,?,?
44,'2018/02/09 15:22:06:890',1,41,268,?,?
45,'2018/02/09 15:22:06:906',1,41,268,?,?
46,'2018/02/09 15:22:06:922',1,41,268,?,?
47,'2018/02/09 15:22:06:940',1,41,268,?,?
48,'2018/02/09 15:22:06:956',1,41,268,?,?
49,'2018/02/09 15:22:06:972',1,41,268,?,?
50,'2018/02/09 15:22:06:989',1,41,268,?,?
51,'2018/02/09 15:22:07:007',1,41,268,?,?
52,'2018/02/09 15:22:07:022',1,41,268,?,?
53,'2018/02/09 15:22:07:039',1,41,268,?,?
54,'2018/02/09 15:22:07:060',1,41,268,?,?
55,'2018/02/09 15:22:07:076',1,41,268,?,?
56,'2018/02/09 15:22:07:091',1,41,268,?,?
57,'2018/02/09 15:22:07:108',1,41,268,?,?
58,'2018/02/09 15:22:07:123',1,41,268,?,?
59,'2018/02/09 15:22:07:140',1,41,268,?,?
60,'2018/02/09 15:22:07:157',1,41,268,?,?
61,'2018/02/09 15:22:17:288',2,597,261,?,?
62,'2018/02/09 15:22:17:304',2,597,261,?,?
63,'2018/02/09 15:22:17:320',2,597,261,?,?
64,'2018/02/09 15:22:17:337',2,597,261,?,?
65,'2018/02/09 15:22:17:353',2,597,261,?,?
66,'2018/02/09 15:22:17:370',2,597,261,?,?
67,'2018/02/09 15:22:17:387',2,597,261,?,?
68,'2018/02/09 15:22:17:403',2,597,261,?,?
69,'2018/02/09 15:22:17:420',2,597,261,?,?
