@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute eye-model-x numeric
@attribute eye-model-y numeric
@attribute region-classifier {0,1,2,3,4}

@data
1,'2018/02/16 22:25:49:396',2,338.944366,178.238449,?,?,1
2,'2018/02/16 22:25:49:897',2,273.812347,323.801636,?,?,1
3,'2018/02/16 22:25:50:398',2,120.892784,590.649292,?,?,1
4,'2018/02/16 22:25:50:899',2,245.701004,507.062286,?,?,1
5,'2018/02/16 22:25:51:401',2,868.00354,407.821869,?,?,1
6,'2018/02/16 22:25:51:902',2,811.974609,95.018433,?,?,1
7,'2018/02/16 22:25:52:404',2,849.824951,12.238818,?,?,1
8,'2018/02/16 22:25:52:908',2,580.578613,35.211605,?,?,1
9,'2018/02/16 22:25:53:414',2,388.968719,170.663116,?,?,1
10,'2018/02/16 22:25:53:915',2,591.302795,287.778381,?,?,1
11,'2018/02/16 22:25:54:416',2,259.030365,326.196198,?,?,1
12,'2018/02/16 22:25:54:917',2,1.159644,244.422073,?,?,1
13,'2018/02/16 22:25:55:418',2,-80.304626,72.091064,?,?,1
14,'2018/02/16 22:25:55:918',2,-23.584044,28.292389,?,?,1
15,'2018/02/16 22:25:56:420',2,-6.530114,38.579208,?,?,1
16,'2018/02/16 22:25:56:922',2,6.068511,61.39386,?,?,1
17,'2018/02/16 22:25:57:422',2,306.438995,127.664162,?,?,1
18,'2018/02/16 22:25:57:923',2,131.711578,218.250519,?,?,1
19,'2018/02/16 22:25:58:424',2,109.041016,224.737991,?,?,1
20,'2018/02/16 22:25:58:925',2,441.650269,216.174667,?,?,1
21,'2018/02/16 22:25:59:426',2,586.400574,16.466856,?,?,1
22,'2018/02/16 22:25:59:947',2,769.781067,20.851358,?,?,1
23,'2018/02/16 22:26:00:449',2,837.090393,145.564713,?,?,1
24,'2018/02/16 22:26:00:957',2,883.867859,206.757034,?,?,1
25,'2018/02/16 22:26:01:460',2,875.039246,418.56781,?,?,1
26,'2018/02/16 22:26:01:965',2,855.170776,517.224548,?,?,1
27,'2018/02/16 22:26:02:542',2,839.805908,591.652649,?,?,1
28,'2018/02/16 22:26:03:045',2,501.61792,587.862549,?,?,1
29,'2018/02/16 22:26:03:545',2,-50.219673,595.575256,?,?,1
30,'2018/02/16 22:26:04:046',2,197.565308,524.018372,?,?,1
31,'2018/02/16 22:26:04:547',2,557.18396,280.589447,?,?,1
32,'2018/02/16 22:26:05:049',2,793.530518,56.570366,?,?,1
33,'2018/02/16 22:26:05:550',2,520.758911,350.700989,?,?,1
34,'2018/02/16 22:26:06:055',2,401.687622,289.567688,?,?,1
35,'2018/02/16 22:26:06:556',2,39.340195,170.174469,?,?,1
36,'2018/02/16 22:26:07:063',2,-14.68825,237.19101,?,?,1
37,'2018/02/16 22:26:07:565',2,46.664707,349.643524,?,?,1
38,'2018/02/16 22:26:08:071',2,102.681175,384.88797,?,?,1
39,'2018/02/16 22:26:08:572',2,615.001343,175.913788,?,?,1
40,'2018/02/16 22:26:09:073',2,591.700317,62.338795,?,?,1
41,'2018/02/16 22:26:09:578',2,255.325363,103.652824,?,?,1
42,'2018/02/16 22:26:10:083',2,37.381508,72.00972,?,?,1
43,'2018/02/16 22:26:10:583',2,320.164734,134.91774,?,?,1
44,'2018/02/16 22:26:11:086',2,474.509247,39.785355,?,?,1
45,'2018/02/16 22:26:11:589',2,678.627075,197.838181,?,?,1
46,'2018/02/16 22:26:12:090',2,823.510376,14.517342,?,?,1
47,'2018/02/16 22:26:12:591',2,700.427185,264.127411,?,?,1
48,'2018/02/16 22:26:13:093',2,126.4972,417.616791,?,?,1
49,'2018/02/16 22:26:13:603',2,131.562546,545.818542,?,?,1
50,'2018/02/16 22:26:14:104',2,333.565277,486.298859,?,?,1
51,'2018/02/16 22:26:14:606',2,577.214722,510.510529,?,?,1
52,'2018/02/16 22:26:15:107',2,789.562866,494.813324,?,?,1
53,'2018/02/16 22:26:15:609',2,363.053314,326.599121,?,?,1
54,'2018/02/16 22:26:16:110',2,151.858261,545.907104,?,?,1
55,'2018/02/16 22:26:16:612',2,575.983337,399.991425,?,?,1
56,'2018/02/16 22:26:17:119',2,797.9021,204.052734,?,?,1
57,'2018/02/16 22:26:17:628',2,839.108276,200.172806,?,?,1
58,'2018/02/16 22:26:18:129',2,134.975937,373.69519,?,?,1
59,'2018/02/16 22:26:18:633',2,148.723785,95.538422,?,?,1
60,'2018/02/16 22:26:19:135',2,586.417358,431.80835,?,?,1
61,'2018/02/16 22:26:19:635',2,876.970581,446.7854,?,?,1
62,'2018/02/16 22:26:20:136',2,895.64386,278.587646,?,?,1
63,'2018/02/16 22:26:20:639',2,864.644653,75.168732,?,?,1
64,'2018/02/16 22:26:21:141',2,845.31781,546.254517,?,?,1
65,'2018/02/16 22:26:21:643',2,728.00061,598.563904,?,?,1
66,'2018/02/16 22:26:22:144',2,193.378662,611.604309,?,?,1
67,'2018/02/16 22:26:22:649',2,273.644714,441.807312,?,?,1
68,'2018/02/16 22:26:23:149',2,374.616577,252.296722,?,?,1
69,'2018/02/16 22:26:23:657',2,543.177124,445.857361,?,?,1
70,'2018/02/16 22:26:24:158',2,288.640778,530.719177,?,?,1
71,'2018/02/16 22:26:24:659',2,742.92572,192.034485,?,?,1
72,'2018/02/16 22:26:25:170',2,185.455063,254.60585,?,?,1
